"pinName","manufacturer","date","Type","estimatedValue","cabinet","displayType","url","rating","ratingsCount.href","ratingsCount.text","makeAndYear","index","gameDesign","artwork","sound","otherRating","staffRating","lowValue","highValue","avgValue","staffValue","age","nameLink"
"Xenon","Bally Manufacturing Co.",1980,"Type Solid state","$1200 - $1400","Normal","Digital","https://pinside.com/pinball/archive/xenon",7.633,"https://pinside.com/pinball/archive/xenon/ratings","237 ratings","Bally, 1980",87,7.271,8.63,7.097,7.56,7.585,1200,1400,1300,171.39090309822,36,"<a href=""https://pinside.com/pinball/archive/xenon""target = _blank>Xenon</a>"
"Firepower","Williams Electronic Games, Inc.",1980,"Type Solid state","$550 - $650","Normal","Digital","https://pinside.com/pinball/archive/firepower",7.619,"https://pinside.com/pinball/archive/firepower/ratings","199 ratings","Williams, 1980",88,7.749,7.416,6.922,7.742,7.185,550,650,600,83.5073068893528,36,"<a href=""https://pinside.com/pinball/archive/firepower""target = _blank>Firepower</a>"
"WHO dunnit","Bally Manufacturing Co.",1995,"Type Solid state","$2400 - $2800","Normal","Dot Matrix","https://pinside.com/pinball/archive/who-dunnit",7.617,"https://pinside.com/pinball/archive/who-dunnit/ratings","337 ratings","Bally, 1995",89,7.507,7.505,7.483,7.526,7.879,2400,2800,2600,329.99111562381,21,"<a href=""https://pinside.com/pinball/archive/who-dunnit""target = _blank>WHO dunnit</a>"
"Safe Cracker","Bally Manufacturing Co.",1996,"Type Solid state","$5460 - $6340","Small body","Dot Matrix","https://pinside.com/pinball/archive/safe-cracker",7.614,"https://pinside.com/pinball/archive/safe-cracker/ratings","220 ratings","Bally, 1996",90,7.571,7.893,7.203,7.531,8.166,5460,6340,5900,722.507959833456,20,"<a href=""https://pinside.com/pinball/archive/safe-cracker""target = _blank>Safe Cracker</a>"
"The Walking Dead (Pro)","Stern Pinball, Inc.",2014,"Type Solid state","$4160 - $4840","Normal","Dot Matrix","https://pinside.com/pinball/archive/the_walking_dead",7.614,"https://pinside.com/pinball/archive/the_walking_dead/ratings","198 ratings","Stern, 2014",91,7.404,7.796,7.123,7.681,7.632,4160,4840,4500,589.622641509434,2,"<a href=""https://pinside.com/pinball/archive/the_walking_dead""target = _blank>The Walking Dead (Pro)</a>"
"Embryon","Bally Manufacturing Co.",1980,"Type Solid state","$920 - $1080","Wide body","4","https://pinside.com/pinball/archive/embryon",7.609,"https://pinside.com/pinball/archive/embryon/ratings","88 ratings","Bally, 1980",92,7.598,7.968,6.143,7.624,7.167,920,1080,1000,139.528394028185,36,"<a href=""https://pinside.com/pinball/archive/embryon""target = _blank>Embryon</a>"
"Mary Shelley's Frankenstein","Sega Pinball, Inc. (US)",1995,"Type Solid state","$1940 - $2260","Normal","Dot Matrix","https://pinside.com/pinball/archive/mary-shellys-frankenstein",7.608,"https://pinside.com/pinball/archive/mary-shellys-frankenstein/ratings","175 ratings","Sega, 1995",93,7.594,7.736,7.533,7.507,7.224,1940,2260,2100,290.697674418605,21,"<a href=""https://pinside.com/pinball/archive/mary-shellys-frankenstein""target = _blank>Mary Shelley's Frankenstein</a>"
"Star Wars","Data East USA, Inc.",1992,"Type Solid state","$3240 - $3760","Normal","Dot Matrix","https://pinside.com/pinball/archive/star-wars",7.606,"https://pinside.com/pinball/archive/star-wars/ratings","334 ratings","Data East, 1992",94,7.457,7.891,7.285,7.689,7.698,3240,3760,3500,454.663548973759,24,"<a href=""https://pinside.com/pinball/archive/star-wars""target = _blank>Star Wars</a>"
"Catacomb","Stern Pinball, Inc.",1981,"Type Solid state","$1390 - $1610","Normal","Alphanumeric","https://pinside.com/pinball/archive/catacomb",7.593,"https://pinside.com/pinball/archive/catacomb/ratings","24 ratings","Stern, 1981",95,7.39,8.158,6.198,7.569,6.811,1390,1610,1500,220.23197768316,35,"<a href=""https://pinside.com/pinball/archive/catacomb""target = _blank>Catacomb</a>"
"Paragon","Bally Manufacturing Co.",1978,"Type Solid state","$1110 - $1290","Wide body","Digital","https://pinside.com/pinball/archive/paragon",7.584,"https://pinside.com/pinball/archive/paragon/ratings","169 ratings","Bally, 1978",97,7.525,8.667,5.765,7.657,7.308,1110,1290,1200,164.203612479475,38,"<a href=""https://pinside.com/pinball/archive/paragon""target = _blank>Paragon</a>"
